Age,Income,Family,CCAvg,Mortgage,Online,CreditCard,Education,Loan
25,49,4,1.6,0,NO,0,Undergrad,0
45,34,3,1.5,0,NO,0,Undergrad,0
39,11,1,1,0,NO,0,Undergrad,0
35,100,1,2.7,0,NO,0,Grad,0
35,45,4,1,0,NO,1,Grad,0
37,29,4,0.4,155,YES,0,Grad,0
53,72,2,1.5,0,YES,0,Grad,0
50,22,1,0.3,0,NO,1,Professional,0
35,81,3,0.6,104,YES,0,Grad,0
34,180,1,8.9,0,NO,0,Professional,1
65,105,4,2.4,0,NO,0,Professional,0
29,45,3,0.1,0,YES,0,Grad,0
48,114,2,3.8,0,NO,0,Professional,0
59,40,4,2.5,0,YES,0,Grad,0
67,112,1,2,0,NO,0,Undergrad,0
60,22,1,1.5,0,YES,1,Professional,0
38,130,4,4.7,134,NO,0,Professional,1
42,81,4,2.4,0,NO,0,Undergrad,0
46,193,2,8.1,0,NO,0,Professional,1
55,21,1,0.5,0,NO,1,Grad,0
56,25,4,0.9,111,YES,0,Grad,0
57,63,3,2,0,YES,0,Professional,0
29,62,1,1.2,260,YES,0,Undergrad,0
44,43,2,0.7,163,NO,0,Undergrad,0
36,152,2,3.9,159,NO,1,Undergrad,0
43,29,3,0.5,97,YES,0,Undergrad,0
40,83,4,0.2,0,NO,0,Professional,0
46,158,1,2.4,0,YES,1,Undergrad,0
56,48,1,2.2,0,YES,1,Professional,0
38,119,1,3.3,0,YES,1,Grad,1
59,35,1,1.2,122,YES,0,Professional,0
40,29,1,2,0,YES,0,Grad,0
53,41,2,0.6,193,NO,0,Professional,0
30,18,3,0.9,0,NO,0,Professional,0
31,50,4,1.8,0,YES,0,Professional,0
48,81,3,0.7,0,NO,0,Undergrad,0
59,121,1,2.9,0,NO,1,Undergrad,0
51,71,1,1.4,198,NO,0,Professional,0
42,141,3,5,0,YES,0,Professional,1
38,80,4,0.7,285,YES,0,Professional,0
57,84,3,1.6,0,NO,0,Professional,0
34,60,3,2.3,0,NO,0,Undergrad,0
32,132,4,1.1,412,YES,0,Grad,1
39,45,1,0.7,0,YES,0,Undergrad,0
46,104,1,5.7,0,YES,1,Undergrad,0
57,52,4,2.5,0,NO,1,Undergrad,0
39,43,3,0.7,153,YES,0,Grad,0
37,194,4,0.2,211,YES,1,Professional,1
56,81,2,4.5,0,NO,1,Professional,0
40,49,1,1.8,0,NO,1,Undergrad,0
32,8,4,0.7,0,YES,0,Grad,0
61,131,1,2.9,0,YES,0,Undergrad,0
30,72,1,0.1,207,NO,0,Undergrad,0
50,190,3,2.1,240,YES,0,Professional,1
29,44,1,0.2,0,YES,0,Professional,0
41,139,2,8,0,YES,0,Undergrad,0
55,29,3,0.1,0,YES,0,Grad,0
56,131,2,1.2,0,NO,0,Professional,1
28,93,2,0.2,0,NO,0,Undergrad,0
31,188,2,4.5,455,NO,0,Undergrad,0
49,39,3,1.7,0,YES,0,Grad,0
47,125,1,5.7,112,NO,0,Undergrad,0
42,22,1,1,0,NO,0,Undergrad,0
42,32,4,0,0,YES,0,Grad,0
47,105,2,3.3,0,NO,0,Undergrad,0
59,131,1,3.8,0,YES,1,Undergrad,0
62,105,2,2.8,336,NO,0,Undergrad,0
53,45,4,2,132,NO,0,Professional,0
47,60,3,2.1,0,YES,1,Undergrad,0
53,20,4,0.2,0,YES,0,Undergrad,0
42,115,1,3.5,0,NO,1,Undergrad,0
53,69,4,1,0,YES,0,Grad,0
44,130,1,5,0,NO,1,Undergrad,0
41,85,1,4,0,YES,1,Professional,0
28,135,2,3.3,0,NO,1,Undergrad,0
31,135,4,3.8,0,YES,1,Grad,1
58,12,3,0.3,0,NO,0,Professional,0
46,29,3,0.5,0,NO,0,Grad,0
54,133,2,2.6,0,NO,0,Professional,1
50,19,2,0.4,118,YES,0,Undergrad,0
60,41,4,1.3,174,YES,1,Undergrad,0
47,40,3,2.7,0,YES,0,Grad,0
41,82,1,4,0,YES,0,Professional,0
33,50,1,2.4,0,NO,0,Grad,0
46,18,1,0.9,0,YES,0,Professional,0
27,109,4,1.8,0,NO,0,Professional,0
40,42,4,2.2,126,NO,0,Grad,0
48,78,3,1.1,0,YES,0,Undergrad,0
65,51,2,1.1,0,YES,0,Undergrad,0
25,113,4,2.3,0,NO,1,Professional,0
55,118,4,5.6,0,YES,0,Grad,1
35,29,4,1.1,0,YES,0,Professional,0
43,34,3,0.6,0,NO,0,Grad,0
60,64,2,1.7,236,YES,0,Professional,0
65,121,1,2,0,NO,0,Undergrad,0
38,48,4,0.2,0,YES,0,Professional,0
41,80,1,5.2,0,NO,0,Undergrad,0
54,161,1,2.9,0,YES,0,Undergrad,0
49,94,1,0.3,0,YES,0,Undergrad,0
66,15,3,0.1,0,YES,0,Professional,0
48,74,1,1.2,0,YES,0,Undergrad,0
61,30,3,1.3,0,NO,0,Grad,0
53,44,3,1,198,YES,1,Professional,0
43,22,2,0.3,0,YES,0,Grad,0
56,38,4,1.3,166,YES,1,Undergrad,0
24,35,3,0.1,0,YES,0,Grad,0
43,69,4,2.9,0,YES,1,Undergrad,0
42,43,1,0.7,136,NO,0,Undergrad,0
33,32,1,0.6,166,YES,0,Professional,0
43,49,1,2.8,0,YES,0,Undergrad,0
41,9,3,1,0,NO,0,Grad,0
62,45,4,1.3,0,YES,0,Grad,0
40,82,3,1,309,NO,0,Undergrad,0
58,92,2,2.8,103,NO,0,Undergrad,0
39,39,3,0.5,0,YES,0,Professional,0
65,81,3,1.8,0,YES,0,Grad,0
54,35,1,1.5,0,YES,0,Grad,0
58,61,2,2.3,193,YES,0,Professional,0
41,73,3,3,0,YES,0,Undergrad,0
32,112,1,4.6,366,NO,0,Undergrad,0
54,12,2,0.2,0,YES,0,Professional,0
52,38,3,0.9,0,YES,0,Professional,0
58,73,2,0.7,0,YES,1,Grad,0
37,84,1,3.6,0,NO,0,Grad,0
39,78,4,2.4,118,YES,0,Undergrad,0
60,80,3,0.5,0,YES,0,Undergrad,0
31,115,2,1.3,101,YES,1,Undergrad,0
34,82,1,2.7,251,YES,0,Grad,0
38,74,2,0,0,YES,0,Undergrad,0
41,70,3,0.5,0,NO,1,Professional,0
28,81,3,1.5,276,YES,0,Undergrad,0
58,149,4,7.2,0,YES,1,Grad,1
31,51,2,1.75,0,NO,0,Professional,0
30,39,3,1.1,0,YES,0,Grad,0
53,98,3,1.8,0,NO,0,Grad,0
58,45,4,2.1,0,YES,1,Undergrad,0
59,49,4,2.5,0,YES,0,Grad,0
49,128,2,0.4,0,NO,0,Undergrad,0
59,42,3,1.5,0,NO,1,Undergrad,0
59,18,1,1.2,0,YES,0,Professional,0
51,31,2,0.4,161,YES,1,Professional,0
35,58,3,2,149,YES,1,Undergrad,0
33,48,1,2.1,0,NO,1,Professional,0
25,54,4,1.6,0,YES,1,Undergrad,0
49,70,2,1.5,0,NO,0,Grad,0
59,124,1,7.4,0,NO,1,Undergrad,0
46,84,1,2.67,0,YES,1,Grad,0
50,83,4,3.6,188,YES,0,Professional,0
52,163,2,0.4,116,YES,0,Undergrad,0
48,42,3,2.2,0,NO,0,Grad,0
46,118,2,7.5,0,YES,1,Undergrad,0
26,132,3,6.5,0,NO,1,Professional,1
57,24,1,1.3,0,YES,1,Undergrad,0
60,22,2,1,0,YES,1,Undergrad,0
54,58,4,1.3,0,NO,0,Professional,0
24,60,4,1.6,0,YES,0,Undergrad,0
26,15,4,0.4,0,NO,1,Undergrad,0
41,83,4,2.67,0,YES,1,Undergrad,0
32,79,2,1.5,0,YES,1,Professional,0
61,41,4,1.7,0,YES,0,Grad,0
29,134,4,6.5,0,NO,0,Professional,1
61,80,2,2.8,0,YES,0,Undergrad,0
38,52,1,2,0,NO,0,Undergrad,0
28,70,4,2.6,0,YES,0,Undergrad,0
53,92,2,1.1,0,NO,0,Undergrad,0
27,43,1,1.5,0,YES,0,Undergrad,0
25,21,3,1,0,NO,0,Grad,0
33,23,3,0.9,0,YES,1,Professional,0
